ts	phase	decision	why	evidence	result
2026-09-11T19:50:00Z	frame	Treat done as production deploy of current main via deploy-relay.yml with history match, Axiom views:read, public smoke, Clerk DPoP, and no lease reject	Production still runs the July 26 worker that enforces expired leases	https://github.com/gannonh/kata-code/actions/runs/34639441145	framed
2026-09-11T19:51:00Z	history	Restore the four archive SQL files from e10e4a07a and leave production bookkeeping alone	Alchemy matchForeignRows requires every relay_migrations name to exist locally. Production stored no hashes.	infra/relay/migrations/postgres/20260712*/migration.sql sha256 match e10e4a07a	restored
2026-09-11T19:52:00Z	apply-risk	Do not dispatch apply until Axiom views:read works	20260821 drops lease columns. The July 26 worker still reads them. Axiom failed after Cloudflare ApiToken updated last run.	run 34639441145 [ApiToken] updated then views Forbidden plus MigrationHistoryConflictError	gated
2026-09-11T19:57:47Z	apply-risk	Keep replicas at 0 to match the July 26 Alchemy state	Dry-run on main planned RelayPostgresDatabase replace. Alchemy replaces when replicas changes. Last successful prod apply predates replicas 2.	infra/relay/src/db.ts replicas 0; run 34639205952 plan replace	replace avoided in source
2026-09-11T20:01:25Z	apply-risk	Omit replicas on RelayPostgresDatabase	Dry-run still planned replace with replicas 0 and with replicas 2. Alchemy compares news.replicas to olds.replicas. Prod state has no field.	https://github.com/gannonh/kata-code/actions/runs/34641709075 still replace	omitted replicas
2026-09-11T20:06:35Z	apply-risk	Pin arch arm and replicas 0 to live katacoderelay	PlanetScale branch main is aarch64 PS_20_AWS_ARM replicas 0 region us-west. Alchemy default arch x86 plans replace.	PlanetScale GET databases/katacoderelay/branches/main cluster_architecture aarch64	source pinned to live identity
2026-09-11T20:18:39Z	apply-risk	Stop pinning replicas and arch as the replace cause	Three dry-runs (replicas 2, 0, omitted, then arch arm) all planned replace. The shared premise was wrong.	runs 34641709075 34642143094 34642456004	premise rejected
2026-09-11T20:18:39Z	census	Read Alchemy Cloudflare state for RelayPostgresDatabase	status is replacing with empty attr. Live generation is old updated katacoderelay s5mpblbu2m4s replicas 0 arch arm PS_5. RelayRecentSpansView is creating.	deploy --inspect-postgres-state on prod	status replacing is the replace actor
2026-09-11T20:18:39Z	recovery	Add inspect and abort-postgres-replace on the existing deploy command	Plan continues replace while status is replacing. Restore the old updated generation. Do not apply until Axiom views:read works.	infra/relay/src/postgres-replace-census.ts	lever added, abort not yet applied
2026-09-11T20:20:44Z	recovery	Abort the in-flight RelayPostgresDatabase replace in Alchemy state	Restored old updated generation katacoderelay s5mpblbu2m4s replicas 0 arch arm PS_5. Physical DB was not touched. Second abort no-ops.	/opt/cursor/artifacts/kat-3334-alchemy-abort.json	restored then noop
2026-09-11T20:20:44Z	verify	Local prod dry-run after abort plans database update not replace	Plan: 1 create, 4 update, 1 delete, 12 noop. RelayPostgresDatabase update. RelayRecentSpansView create. No replace census line.	/opt/cursor/artifacts/kat-3334-local-dry-run.log	no database replace
2026-09-11T20:23:53Z	verify	Official GitHub dry-run after abort plans database update	Same plan as local. RelayPostgresDatabase update. RelayRecentSpansView create. Apply still gated on Axiom views:read 403.	https://github.com/gannonh/kata-code/actions/runs/34643682650 /opt/cursor/artifacts/kat-3334-gh-dry-run-plan.txt	dry-run Pass, apply Blocked
2026-09-11T20:23:53Z	verify	Axiom views:read still forbidden on the deploy token	GET /v2/views returned 403 forbidden_views_read. Do not apply.	AXIOM_VIEWS_STATUS 403	AC2 Blocked
2026-09-11T20:44:50Z	verify	Fix relay typecheck on inspect and abort helpers	exactOptionalPropertyTypes, replacing-status narrow before writing old, Schema JSON encode instead of JSON.stringify	infra/relay/scripts/deploy.ts infra/relay/src/postgres-replace-census.ts	tsc clean on recovery files
